feature,importance
rolling_4_week_avg,0.3200328641758259
weekly_unique_vehicles,0.10669085917958859
active_days,0.09200068311682022
weekly_violations,0.08119570655634499
rolling_4_week_std,0.07113099117291122
weekly_unique_devices,0.05448249170581262
lag_1_week,0.03994749253379994
lag_2_week,0.021267925267058656
lag_3_week,0.02052136772129975
quarter,0.02012560917227003
weekly_violations_per_day,0.0171042743339392
weekly_approved_violations,0.004351927192799555
weekly_repeat_offenders,0.003274306589827762
month,0.002823233615872026
week_number,0.0014376028070161037
weekly_approval_rate,0.0011842942361871994
growth_rate,0.0010309909939432145
latitude,0.0
longitude,0.0
